city,date,AQI,PM2.5,PM10,SO2,NO2,CO,O3,O3_8h,quality_level
许昌,2025-02-14,78,57,104,7,23,0.5,92,92,良
常州,2025-02-15,109,82,110,9,43,0.9,70,70,轻度污染
许昌,2025-02-15,69,44,87,7,22,0.5,99,99,良
常州,2025-02-16,107,80,109,10,30,,99,99,轻度污染
许昌,2025-02-16,75,32,100,8,19,0.3,90,90,良
常州,2025-02-17,67,47,83,,30,0.7,70,70,良
许昌,2025-02-17,81,49,112,7,28,0.4,78,78,良
常州,2025-02-18,55,29,53,10,44,0.6,85,85,良
许昌,2025-02-18,92,68,120,7,30,0.5,93,93,良
常州,2025-02-19,59,38,68,,32,0.5,101,101,良
许昌,2025-02-19,88,65,110,10,27,0.6,76,76,良
常州,2025-02-20,44,24,44,,23,0.5,81,81,优
许昌,2025-02-20,84,62,86,6,26,0.6,44,44,良
常州,2025-02-21,42,25,42,,26,0.5,77,77,优
许昌,2025-02-21,102,76,83,3,22,0.6,47,47,轻度污染
常州,2025-02-22,68,49,72,,31,0.5,90,90,良
许昌,2025-02-22,109,82,101,7,24,0.6,66,66,轻度污染
常州,2025-02-23,75,55,73,,24,0.5,79,79,良
许昌,2025-02-23,102,76,106,6,29,0.6,90,90,轻度污染
常州,2025-02-24,82,60,79,,39,0.6,96,96,良
许昌,2025-02-24,72,52,83,6,27,0.5,98,98,良
常州,2025-02-25,119,90,122,10,43,0.7,75,75,轻度污染
许昌,2025-02-25,67,48,72,7,20,0.5,103,103,良
常州,2025-02-26,104,78,106,10,39,0.8,120,120,轻度污染
许昌,2025-02-26,93,69,94,6,26,0.6,111,111,良
常州,2025-02-27,133,101,128,11,44,0.9,76,76,轻度污染
许昌,2025-02-27,124,94,104,5,27,0.7,103,103,轻度污染
常州,2025-02-28,109,82,112,12,65,1.1,88,88,轻度污染
许昌,2025-02-28,133,101,124,6,41,0.8,101,101,轻度污染
常州,2025-03-01,70,39,62,11,33,0.8,124,124,良
许昌,2025-03-01,99,74,70,3,17,0.7,66,66,良
常州,2025-03-02,69,42,72,11,40,0.8,122,122,良
许昌,2025-03-02,39,27,31,2,14,0.6,70,70,优
常州,2025-03-03,39,12,22,5,16,0.5,78,78,优
许昌,2025-03-03,47,17,47,2,14,0.4,73,73,优
常州,2025-03-04,35,16,22,5,21,0.6,69,69,优
许昌,2025-03-04,40,27,40,2,17,0.5,73,73,优
常州,2025-03-05,39,27,38,6,20,0.5,74,74,优
许昌,2025-03-05,79,58,80,4,39,0.6,58,58,良
常州,2025-03-06,62,30,45,6,22,0.5,114,114,良
许昌,2025-03-06,93,69,94,4,33,0.6,124,124,良
常州,2025-03-07,69,50,76,8,40,0.7,106,106,良
许昌,2025-03-07,82,60,81,4,35,0.5,122,122,良
常州,2025-03-08,89,66,96,9,49,0.8,126,126,良
许昌,2025-03-08,88,65,90,4,26,0.5,119,119,良
常州,2025-03-09,62,44,67,8,32,0.6,98,98,良
许昌,2025-03-09,100,75,99,3,25,0.5,127,127,良
常州,2025-03-10,64,46,72,7,37,0.6,103,103,良
许昌,2025-03-10,90,67,88,3,22,0.5,112,112,良
常州,2025-03-11,84,62,96,9,56,0.9,119,119,良
许昌,2025-03-11,97,72,89,3,26,0.5,84,84,良
常州,2025-03-12,63,45,71,8,41,1,74,74,良
许昌,2025-03-12,132,74,214,5,29,0.5,92,92,轻度污染
常州,2025-03-13,47,28,47,8,30,0.7,67,67,优
许昌,2025-03-13,147,112,186,3,29,0.5,124,124,轻度污染
常州,2025-03-14,49,20,49,9,35,0.7,59,59,优
许昌,2025-03-14,52,30,54,3,18,0.3,79,79,良
常州,2025-03-15,44,23,42,6,22,0.5,88,88,优
许昌,2025-03-15,74,53,98,4,27,0.5,84,84,良
常州,2025-03-16,49,29,45,7,23,0.4,98,98,优
许昌,2025-03-16,51,24,51,3,17,0.4,92,92,良
常州,2025-03-17,53,24,41,10,27,0.5,103,103,良
许昌,2025-03-17,50,18,50,4,18,0.3,100,100,优
常州,2025-03-18,51,21,42,8,26,0.5,101,101,良
许昌,2025-03-18,61,26,71,4,25,0.4,100,100,良
常州,2025-03-19,66,40,68,11,38,0.7,119,119,良
许昌,2025-03-19,60,32,67,6,27,0.4,112,112,良
常州,2025-03-20,80,41,68,11,32,0.6,136,136,良
许昌,2025-03-20,59,18,48,6,18,0.3,110,110,良
常州,2025-03-21,86,30,56,13,36,0.7,143,143,良
许昌,2025-03-21,65,22,59,6,18,0.3,117,117,良
常州,2025-03-22,94,33,62,15,41,0.7,152,152,良
许昌,2025-03-22,67,31,84,6,18,0.4,115,115,良
常州,2025-03-23,82,41,79,18,38,0.8,138,138,良
许昌,2025-03-23,79,40,107,8,20,0.4,113,113,良
常州,2025-03-24,88,38,77,14,29,0.8,145,145,良
许昌,2025-03-24,167,82,284,6,20,0.4,87,87,中度污染
常州,2025-03-25,100,40,98,14,47,0.8,160,160,良
许昌,2025-03-25,73,45,82,5,19,0.5,127,127,良
常州,2025-03-26,142,56,110,14,47,1,206,206,轻度污染
许昌,2025-03-26,105,54,124,6,26,0.6,165,165,轻度污染
常州,2025-03-27,84,42,118,10,20,0.7,117,117,良
许昌,2025-03-27,102,31,154,4,14,0.5,86,86,轻度污染
常州,2025-03-28,63,24,75,8,18,0.6,79,79,良
许昌,2025-03-28,159,60,267,4,12,0.3,82,82,中度污染
常州,2025-03-29,70,34,89,8,22,0.7,92,92,良
许昌,2025-03-29,64,26,78,3,15,0.4,88,88,良
常州,2025-03-30,54,26,58,9,24,1,98,98,良
许昌,2025-03-30,60,29,0,5,19,0.4,100,100,良
常州,2025-03-31,60,17,40,8,24,0.5,111,111,良
许昌,2025-03-31,73,40,96,5,17,0.4,103,103,良
常州,2025-04-01,73,27,52,8,27,0.6,127,127,良
许昌,2025-04-01,68,35,85,6,20,0.4,114,114,良
常州,2025-04-02,103,38,,11,,0.6,163,163,轻度污染
许昌,2025-04-02,62,16,74,3,17,0.3,102,102,良
常州,2025-04-03,72,30,685369,10,,0.7,126,126,良
许昌,2025-04-03,73,31,69,6,24,0.4,127,127,良
常州,2025-04-04,97,37,,10,,0.7,156,156,良
许昌,2025-04-04,82,54,113,6,24,0.5,108,108,良
常州,2025-04-05,92,43,88,11,,0.7,150,150,良
许昌,2025-04-05,71,18,92,6,17,0.3,108,108,良
常州,2025-04-06,106,48,96,12,33,0.8,166,166,轻度污染
许昌,2025-04-06,80,39,110,7,20,0.4,133,133,良
常州,2025-04-07,126,52,98,12,33,0.8,188,188,轻度污染
许昌,2025-04-07,81,41,112,7,16,0.4,134,134,良
常州,2025-04-08,115,46,88,14,42,0.8,176,176,轻度污染
许昌,2025-04-08,99,67,136,7,30,0.6,158,158,良
常州,2025-04-09,130,57,112,15,46,0.9,192,192,轻度污染
许昌,2025-04-09,100,61,150,10,26,0.7,129,129,良
常州,2025-04-10,116,76,147,16,59,1.2,177,177,轻度污染
许昌,2025-04-10,106,77,141,7,19,0.8,166,166,轻度污染
常州,2025-04-11,93,50,102,13,44,0.9,151,151,良
许昌,2025-04-11,81,53,112,6,24,0.6,101,101,良
常州,2025-04-12,131,54,211,9,22,0.6,86,86,轻度污染
许昌,2025-04-12,413,98,513,4,10,0.2,99,99,严重污染
常州,2025-04-13,92,28,134,10,15,0.5,112,112,良
许昌,2025-04-13,91,32,131,5,18,0.3,110,110,良
常州,2025-04-14,74,24,97,10,21,0.5,120,120,良
许昌,2025-04-14,69,22,64,4,17,0.4,122,122,良
常州,2025-04-15,89,23,62,13,29,0.6,146,146,良
许昌,2025-04-15,74,32,68,8,24,0.5,128,128,良
常州,2025-04-16,97,29,61,15,37,0.6,156,156,良
许昌,2025-04-16,95,47,139,7,15,0.4,130,130,良
常州,2025-04-17,89,32,80,15,29,0.6,146,146,良
许昌,2025-04-17,95,55,140,7,17,0.5,149,149,良
常州,2025-04-18,144,39,92,14,28,0.7,208,208,轻度污染
许昌,2025-04-18,101,57,152,6,16,0.5,158,158,轻度污染
常州,2025-04-19,129,48,130,13,25,0.8,191,191,轻度污染
许昌,2025-04-19,62,44,56,3,16,0.4,104,104,良
常州,2025-04-20,85,28,66,11,23,0.7,141,141,良
