city,month,AQI,PM2.5,PM10,SO2,NO2,CO,O3,O3_8h,quality_level
中山,2023-01,48,28,41,25,5,0.561,71,71,优
合肥,2023-01,81,56,97,0.742,7,38,70,70,良
宣城,2023-01,68,46,72,7,23,0.613,80,80,良
常州,2023-01,74,50,82,0.684,33,8,78,78,良
湖州,2023-01,68,46,69,32,0.606,6,74,74,良
芜湖,2023-01,82,58,91,8,0.748,38,72,72,良
许昌,2023-01,149,109,161,7,32,0.861,77,77,轻度污染
郑州,2023-01,137,98,152,12,38,0.977,66,66,轻度污染
中山,2023-02,65,25,43,26,6,0.525,105,105,良
合肥,2023-02,65,44,70,0.696,7,36,65,65,良
宣城,2023-02,65,45,58,7,28,0.621,68,68,良
常州,2023-02,61,41,65,0.636,36,7,73,73,良
湖州,2023-02,58,38,54,35,0.557,6,71,71,良
芜湖,2023-02,69,48,69,7,0.689,38,67,67,良
许昌,2023-02,111,81,100,5,30,0.682,80,80,轻度污染
郑州,2023-02,112,81,93,8,33,0.779,77,77,轻度污染
中山,2023-03,70,25,46,24,6,0.548,102,102,良
合肥,2023-03,79,40,106,0.684,7,39,97,97,良
宣城,2023-03,67,35,73,8,27,0.527,95,95,良
常州,2023-03,76,43,91,0.619,36,9,108,108,良
湖州,2023-03,72,41,80,40,0.552,7,97,97,良
芜湖,2023-03,77,41,86,9,0.713,41,104,104,良
许昌,2023-03,110,54,155,6,26,0.539,105,105,轻度污染
郑州,2023-03,115,54,160,7,32,0.581,104,104,轻度污染
中山,2023-04,57,19,36,20,5,0.513,98,98,良
合肥,2023-04,89,35,105,0.563,6,27,112,112,良
宣城,2023-04,76,32,83,6,21,0.5,100,100,良
常州,2023-04,88,38,93,0.577,28,8,125,125,良
湖州,2023-04,82,36,86,32,0.507,7,116,116,良
芜湖,2023-04,84,34,90,9,0.673,31,113,113,良
许昌,2023-04,117,47,150,7,19,0.567,115,115,轻度污染
郑州,2023-04,126,50,163,7,24,0.59,120,120,轻度污染
中山,2023-05,59,19,34,16,4,0.474,103,103,良
合肥,2023-05,69,31,61,0.558,6,24,113,113,良
宣城,2023-05,60,26,48,6,18,0.513,102,102,良
常州,2023-05,89,30,61,0.571,24,7,139,139,良
湖州,2023-05,83,30,51,28,0.548,6,135,135,良
芜湖,2023-05,79,29,56,9,0.687,27,124,124,良
许昌,2023-05,77,25,59,5,15,0.6,128,128,良
郑州,2023-05,83,28,63,6,21,0.59,136,136,良
中山,2023-06,50,10,19,9,5,0.387,89,89,良
合肥,2023-06,81,24,47,0.563,7,22,134,134,良
宣城,2023-06,59,21,35,6,16,0.513,105,105,良
常州,2023-06,96,24,42,0.683,21,8,152,152,良
湖州,2023-06,92,27,38,25,0.607,5,145,145,良
芜湖,2023-06,89,22,39,7,0.697,26,143,143,良
许昌,2023-06,105,22,52,5,17,0.513,162,162,轻度污染
郑州,2023-06,117,23,54,6,23,0.55,175,175,轻度污染
中山,2023-07,48,9,18,8,6,0.394,86,86,优
合肥,2023-07,51,16,30,0.429,6,15,96,96,良
宣城,2023-07,36,12,23,6,14,0.429,72,72,优
常州,2023-07,59,15,26,0.594,15,6,106,106,良
湖州,2023-07,57,17,27,20,0.529,3,102,102,良
芜湖,2023-07,53,15,27,6,0.619,19,98,98,良
许昌,2023-07,77,16,36,3,13,0.445,129,129,良
郑州,2023-07,95,18,44,4,16,0.532,151,151,良
中山,2023-08,41,10,20,11,4,0.403,79,79,优
合肥,2023-08,77,23,41,0.565,6,20,131,131,良
宣城,2023-08,60,19,32,6,14,0.513,109,109,良
常州,2023-08,87,19,35,0.629,18,7,141,141,良
湖州,2023-08,86,22,33,18,0.584,4,140,140,良
芜湖,2023-08,84,22,37,6,0.703,22,138,138,良
许昌,2023-08,89,24,42,4,15,0.587,146,146,良
郑州,2023-08,94,21,43,3,16,0.623,151,151,良
中山,2023-09,52,11,20,15,5,0.403,92,92,良
合肥,2023-09,61,24,42,0.593,6,21,105,105,良
宣城,2023-09,55,22,34,6,18,0.643,100,100,良
常州,2023-09,75,22,39,0.747,23,8,126,126,良
湖州,2023-09,82,25,35,23,0.61,3,134,134,良
芜湖,2023-09,63,21,37,7,0.703,23,110,110,良
许昌,2023-09,77,27,46,6,21,0.613,130,130,良
郑州,2023-09,83,26,51,5,24,0.673,134,134,良
中山,2023-10,74,22,36,24,4,0.561,119,119,良
合肥,2023-10,72,37,71,0.671,7,44,113,113,良
宣城,2023-10,62,29,48,6,24,0.603,110,110,良
常州,2023-10,83,35,65,0.735,39,10,136,136,良
湖州,2023-10,77,31,49,40,0.6,6,130,130,良
芜湖,2023-10,73,34,61,9,0.739,41,121,121,良
许昌,2023-10,82,57,88,10,36,0.632,110,110,良
郑州,2023-10,68,36,77,9,42,0.752,106,106,良
中山,2023-11,73,28,52,34,5,0.51,118,118,良
合肥,2023-11,69,37,80,0.6,7,41,71,71,良
宣城,2023-11,60,36,64,6,30,0.637,77,77,良
常州,2023-11,72,42,77,0.747,44,10,86,86,良
湖州,2023-11,71,42,75,48,0.577,7,80,80,良
芜湖,2023-11,69,41,81,11,0.767,44,73,73,良
许昌,2023-11,79,49,86,8,35,0.55,68,68,良
郑州,2023-11,77,46,87,8,39,0.733,65,65,良
中山,2023-12,60,33,54,45,6,0.635,54,54,良
合肥,2023-12,87,58,92,0.8,7,46,31,31,良
宣城,2023-12,80,55,79,7,39,0.765,38,38,良
常州,2023-12,88,62,94,0.919,53,10,33,33,良
湖州,2023-12,86,57,89,58,0.726,7,29,29,良
芜湖,2023-12,89,62,96,10,0.913,51,31,31,良
许昌,2023-12,93,65,92,6,32,0.674,36,36,良
郑州,2023-12,90,62,84,9,39,0.877,31,31,良
中山,2024-01,64,33,51,39,5,0.603,91,91,良
合肥,2024-01,90,64,95,0.861,6,47,55,55,良
宣城,2024-01,88,64,85,5,35,0.755,63,63,良
常州,2024-01,93,67,94,0.945,49,9,61,61,良
湖州,2024-01,93,67,93,51,0.784,7,63,63,良
芜湖,2024-01,97,70,100,9,0.881,48,56,56,良
许昌,2024-01,120,90,116,8,37,0.8,63,63,轻度污染
郑州,2024-01,111,84,104,9,43,0.965,56,56,轻度污染
中山,2024-02,41,21,31,19,5,0.517,58,58,优
合肥,2024-02,68,47,62,0.676,5,20,79,79,良
宣城,2024-02,59,40,51,3,15,0.61,74,74,良
常州,2024-02,67,45,60,0.755,19,7,85,85,良
湖州,2024-02,64,44,55,21,0.641,6,79,79,良
芜湖,2024-02,71,50,65,7,0.7,27,74,74,良
许昌,2024-02,101,72,96,7,20,0.69,95,95,轻度污染
郑州,2024-02,105,75,104,9,22,0.783,89,89,轻度污染
中山,2024-03,53,24,41,25,6,0.542,82,82,良
合肥,2024-03,75,45,89,0.658,6,35,99,99,良
宣城,2024-03,69,41,68,4,26,0.645,101,101,良
常州,2024-03,76,46,84,0.81,40,9,102,102,良
湖州,2024-03,72,44,73,41,0.719,7,103,103,良
芜湖,2024-03,72,44,80,8,0.706,41,100,100,良
许昌,2024-03,87,54,102,8,25,0.574,105,105,良
郑州,2024-03,86,53,103,8,27,0.671,108,108,良
中山,2024-04,40,17,29,16,5,0.443,69,69,优
合肥,2024-04,73,36,70,0.643,7,28,119,119,良
宣城,2024-04,67,26,45,4,17,0.593,116,116,良
常州,2024-04,72,30,63,0.71,31,9,118,118,良
湖州,2024-04,69,30,47,29,0.62,5,116,116,良
芜湖,2024-04,74,26,49,7,0.643,28,124,124,良
许昌,2024-04,76,41,79,8,21,0.547,122,122,良
郑州,2024-04,83,37,87,7,22,0.65,133,133,良
中山,2024-05,64,15,28,21,5,0.442,105,105,良
合肥,2024-05,89,29,60,0.535,7,25,143,143,良
宣城,2024-05,82,24,44,5,13,0.49,137,137,良
常州,2024-05,95,26,52,0.594,22,9,151,151,良
湖州,2024-05,92,25,43,25,0.574,6,147,147,良
芜湖,2024-05,89,27,51,9,0.616,27,144,144,良
许昌,2024-05,110,41,93,8,20,0.49,165,165,轻度污染
郑州,2024-05,115,36,91,7,20,0.568,171,171,轻度污染
中山,2024-06,32,9,18,11,6,0.36,62,62,优
合肥,2024-06,87,20,36,0.51,7,18,141,141,良
宣城,2024-06,70,16,28,5,8,0.523,117,117,良
常州,2024-06,94,20,35,0.653,16,8,146,146,良
湖州,2024-06,78,19,28,19,0.57,5,126,126,良
芜湖,2024-06,83,18,31,7,0.603,19,134,134,良
许昌,2024-06,118,29,72,6,18,0.43,179,179,轻度污染
郑州,2024-06,128,28,72,6,20,0.56,190,190,轻度污染
中山,2024-07,31,7,15,9,6,0.361,59,59,优
合肥,2024-07,50,13,25,0.452,7,12,95,95,良
宣城,2024-07,38,11,21,5,8,0.423,75,75,优
常州,2024-07,59,14,26,0.529,13,7,107,107,良
湖州,2024-07,58,15,26,17,0.497,5,104,104,良
芜湖,2024-07,50,12,24,8,0.558,16,93,93,优
许昌,2024-07,64,16,30,3,9,0.558,113,113,良
郑州,2024-07,69,18,37,3,13,0.568,121,121,良
中山,2024-08,48,14,25,13,4,0.471,88,88,优
合肥,2024-08,76,20,36,0.526,7,15,130,130,良
宣城,2024-08,64,17,29,6,9,0.558,114,114,良
常州,2024-08,96,22,36,0.642,17,8,154,154,良
湖州,2024-08,91,22,32,18,0.561,6,147,147,良
芜湖,2024-08,81,20,36,8,0.648,18,137,137,良
许昌,2024-08,76,18,43,4,12,0.539,128,128,良
郑州,2024-08,85,19,44,3,15,0.558,139,139,良
中山,2024-09,73,15,27,17,4,0.467,121,121,良
合肥,2024-09,62,20,35,0.6,6,17,109,109,良
宣城,2024-09,60,19,32,6,11,0.523,107,107,良
常州,2024-09,72,17,33,0.593,17,8,122,122,良
湖州,2024-09,60,19,29,15,0.483,6,107,107,良
芜湖,2024-09,64,20,35,8,0.663,19,114,114,良
许昌,2024-09,83,27,54,6,16,0.567,136,136,良
郑州,2024-09,83,25,52,5,18,0.617,137,137,良
中山,2024-10,85,21,37,21,6,0.503,141,141,良
合肥,2024-10,60,29,50,0.603,6,27,101,101,良
宣城,2024-10,51,22,35,5,18,0.577,95,95,良
常州,2024-10,59,25,45,0.552,24,8,103,103,良
湖州,2024-10,55,22,34,26,0.577,5,98,98,良
芜湖,2024-10,55,24,41,9,0.687,30,98,98,良
许昌,2024-10,111,78,105,7,32,0.655,125,125,轻度污染
郑州,2024-10,95,64,95,5,33,0.661,120,120,良
中山,2024-11,60,22,39,32,6,0.51,92,92,良
合肥,2024-11,56,30,60,0.613,6,36,78,78,良
宣城,2024-11,51,25,45,5,26,0.57,80,80,良
常州,2024-11,56,29,56,0.593,32,8,85,85,良
湖州,2024-11,55,26,46,33,0.53,6,84,84,良
芜湖,2024-11,55,25,53,9,0.607,37,79,79,良
许昌,2024-11,90,61,85,6,28,0.65,76,76,良
郑州,2024-11,78,51,74,4,30,0.617,66,66,良
中山,2024-12,70,40,63,44,6,0.606,105,105,良
合肥,2024-12,78,54,88,0.7,7,48,64,64,良
宣城,2024-12,76,55,77,7,36,0.752,71,71,良
常州,2024-12,76,54,81,0.735,47,10,64,64,良
湖州,2024-12,76,51,77,46,0.681,8,66,66,良
芜湖,2024-12,84,60,97,11,0.835,51,61,61,良
许昌,2024-12,90,63,101,8,38,0.69,62,62,良
郑州,2024-12,78,53,83,7,38,0.642,55,55,良
中山,2025-01,68,36,58,39,5,0.526,115,115,良
合肥,2025-01,91,63,99,0.729,8,45,75,75,良
宣城,2025-01,78,55,81,7,29,0.671,90,90,良
常州,2025-01,79,56,87,0.732,44,11,82,82,良
湖州,2025-01,77,53,81,44,0.6,9,84,84,良
芜湖,2025-01,95,66,105,11,0.771,46,76,76,良
许昌,2025-01,116,83,124,9,33,0.777,72,72,轻度污染
郑州,2025-01,97,66,102,8,33,0.694,69,69,良
中山,2025-02,51,25,38,25,4,0.482,88,88,良
合肥,2025-02,70,47,73,0.632,6,28,80,80,良
宣城,2025-02,70,49,65,6,21,0.629,80,80,良
常州,2025-02,72,50,73,0.646,31,8,83,83,良
湖州,2025-02,71,50,67,27,0.586,7,83,83,良
芜湖,2025-02,75,53,77,7,0.693,27,75,75,良
许昌,2025-02,89,60,98,7,23,0.564,79,79,良
郑州,2025-02,82,55,84,7,26,0.675,79,79,良
中山,2025-03,58,19,33,25,5,0.503,89,89,良
合肥,2025-03,75,41,78,0.519,5,29,104,104,良
宣城,2025-03,64,32,51,6,18,0.561,106,106,良
常州,2025-03,68,35,65,0.684,32,9,110,110,良
湖州,2025-03,64,33,60,34,0.461,6,103,103,良
芜湖,2025-03,66,35,67,7,0.652,31,99,99,良
许昌,2025-03,82,47,98,4,22,0.455,100,100,良
郑州,2025-03,86,48,104,7,25,0.635,101,101,良
中山,2025-04,67,24,61,19,5,0.433,102,102,良
合肥,2025-04,89,34,82,0.513,6,25,139,139,良
宣城,2025-04,91,34,72,7,16,0.61,140,140,良
常州,2025-04,100,37,88,0.7,30,12,153,153,轻度污染
湖州,2025-04,100,38,81,31,0.55,6,151,151,良
芜湖,2025-04,95,36,89,8,0.617,30,142,142,良
许昌,2025-04,96,43,117,6,19,0.463,130,130,良
郑州,2025-04,105,47,128,8,22,0.61,135,135,轻度污染
中山,2025-05,50,14,25,14,5,0.458,91,91,良
合肥,2025-05,88,32,63,0.51,6,19,143,143,良
宣城,2025-05,79,27,50,6,12,0.548,130,130,良
常州,2025-05,95,27,59,0.632,23,10,150,150,良
湖州,2025-05,92,30,53,25,0.548,6,147,147,良
芜湖,2025-05,90,31,60,8,0.6,21,145,145,良
许昌,2025-05,107,47,113,5,17,0.465,151,151,轻度污染
郑州,2025-05,114,45,110,6,19,0.59,161,161,轻度污染
中山,2025-06,34,7,16,10,5,0.41,65,65,优
合肥,2025-06,60,17,28,0.577,6,15,108,108,良
宣城,2025-06,48,13,22,7,8,0.473,90,90,优
常州,2025-06,71,17,35,0.587,20,8,121,121,良
湖州,2025-06,71,19,30,21,0.527,5,120,120,良
芜湖,2025-06,61,16,27,7,0.53,15,109,109,良
许昌,2025-06,97,22,49,5,16,0.443,153,153,良
郑州,2025-06,111,22,56,5,18,0.583,170,170,轻度污染
中山,2025-07,57,12,23,13,5,0.465,101,101,良
合肥,2025-07,56,15,25,0.49,6,12,102,102,良
宣城,2025-07,49,13,22,7,7,0.413,92,92,优
常州,2025-07,64,14,28,0.516,12,8,109,109,良
湖州,2025-07,58,14,25,11,0.455,6,101,101,良
芜湖,2025-07,63,16,27,7,0.429,12,111,111,良
许昌,2025-07,76,18,34,2,10,0.377,129,129,良
郑州,2025-07,88,18,37,4,13,0.558,144,144,良
中山,2025-08,40,10,21,14,5,0.41,75,75,优
合肥,2025-08,57,12,23,0.542,7,14,105,105,良
宣城,2025-08,52,12,21,7,8,0.448,98,98,良
常州,2025-08,77,15,28,0.697,15,8,132,132,良
湖州,2025-08,77,18,30,15,0.519,6,130,130,良
芜湖,2025-08,68,16,26,7,0.555,16,119,119,良
许昌,2025-08,68,15,29,3,10,0.452,121,121,良
郑州,2025-08,80,16,34,5,13,0.584,136,136,良
中山,2025-09,45,9,18,14,6,0.403,84,84,优
合肥,2025-09,49,17,28,0.673,6,17,91,91,优
宣城,2025-09,55,17,28,6,11,0.473,99,99,良
常州,2025-09,72,19,35,0.753,20,8,123,123,良
湖州,2025-09,75,23,32,19,0.587,7,127,127,良
芜湖,2025-09,57,19,30,6,0.69,18,102,102,良
许昌,2025-09,51,16,29,3,16,0.573,92,92,良
郑州,2025-09,58,17,34,6,22,0.627,104,104,良
中山,2025-10,60,18,29,19,7,0.461,103,103,良
合肥,2025-10,49,27,43,0.668,6,22,76,76,优
宣城,2025-10,51,25,38,6,15,0.555,89,89,良
常州,2025-10,61,21,41,0.797,22,9,104,104,良
湖州,2025-10,66,25,38,21,0.555,7,109,109,良
芜湖,2025-10,52,25,40,7,0.755,22,86,86,良
许昌,2025-10,63,41,54,5,22,0.548,71,71,良
郑州,2025-10,57,35,51,7,28,0.732,69,69,良
中山,2025-11,67,25,45,32,7,0.5,113,113,良
合肥,2025-11,77,44,94,0.683,7,41,82,82,良
宣城,2025-11,62,34,66,6,25,0.473,91,91,良
常州,2025-11,79,47,97,0.697,40,10,87,87,良
湖州,2025-11,70,38,79,40,0.597,9,88,88,良
芜湖,2025-11,72,43,84,9,0.71,38,84,84,良
许昌,2025-11,95,59,121,7,33,0.54,79,79,良
郑州,2025-11,82,48,106,8,37,0.573,76,76,良
中山,2025-12,75,43,62,42,6,0.655,120,120,良
合肥,2025-12,83,56,92,0.819,7,41,66,66,良
宣城,2025-12,75,52,78,6,32,0.577,75,75,良
常州,2025-12,72,47,81,0.71,41,9,67,67,良
湖州,2025-12,69,44,74,42,0.671,8,72,72,良
芜湖,2025-12,82,56,88,9,0.79,41,62,62,良
许昌,2025-12,124,89,137,7,38,0.765,64,64,轻度污染
郑州,2025-12,108,76,115,6,40,0.7,58,58,轻度污染
中山,2026-01,75,37,55,41,4,0.271,114,114,良
合肥,2026-01,73,48,76,0.755,6,41,64,64,良
宣城,2026-01,71,49,71,6,29,0.542,78,78,良
常州,2026-01,74,51,79,0.719,40,8,72,72,良
湖州,2026-01,73,50,75,42,0.606,8,73,73,良
芜湖,2026-01,75,53,76,9,0.771,37,66,66,良
许昌,2026-01,113,82,111,6,30,0.8,62,62,轻度污染
郑州,2026-01,108,76,101,4,32,0.723,61,61,轻度污染
中山,2026-02,53,23,34,19,3,0.254,96,96,良
合肥,2026-02,63,38,72,0.721,6,25,80,80,良
宣城,2026-02,60,37,63,5,17,0.443,81,81,良
常州,2026-02,68,43,72,0.707,23,7,87,87,良
湖州,2026-02,62,40,62,24,0.589,6,87,87,良
芜湖,2026-02,67,45,72,7,0.75,27,75,75,良
许昌,2026-02,94,62,116,6,20,0.689,80,80,良
郑州,2026-02,86,54,104,5,22,0.589,85,85,良
中山,2026-03,54,18,29,16,5,0.406,95,95,良
合肥,2026-03,76,46,70,0.777,6,29,104,104,良
宣城,2026-03,70,43,56,5,24,0.481,100,100,良
常州,2026-03,69,40,64,0.603,30,8,96,96,良
湖州,2026-03,64,35,52,23,0.571,6,105,105,良
芜湖,2026-03,71,42,56,7,0.684,28,98,98,良
许昌,2026-03,106,70,94,6,23,0.616,97,97,轻度污染
郑州,2026-03,104,69,86,4,25,0.674,103,103,轻度污染
中山,2026-04,49,17,27,12,4,0.393,85,85,优
合肥,2026-04,63,22,52,0.62,7,22,107,107,良
宣城,2026-04,64,25,40,6,17,0.36,110,110,良
常州,2026-04,73,27,59,0.637,25,7,119,119,良
湖州,2026-04,75,28,45,22,0.587,6,127,127,良
芜湖,2026-04,64,25,43,7,0.56,24,110,110,良
许昌,2026-04,72,33,65,6,18,0.457,113,113,良
郑州,2026-04,83,35,74,5,17,0.47,129,129,良
中山,2026-05,49,16,24,15,4,0.469,93,93,优
合肥,2026-05,73,20,39,0.531,8,18,127,127,良
宣城,2026-05,71,19,32,7,14,0.292,125,125,良
常州,2026-05,94,21,46,0.608,20,9,152,152,良
湖州,2026-05,92,25,40,21,0.462,7,149,149,良
芜湖,2026-05,75,24,40,8,0.536,24,129,129,良
许昌,2026-05,73,27,54,7,13,0.385,125,125,良
郑州,2026-05,87,30,64,5,14,0.485,143,143,良
